Date,Price
20200130,3151.8200
20200129,3190.8300
20200128,3173.5700
20200125,3103.4200
20200124,3095.3300
20200123,3097.5300
20200122,3094.9000
20200121,3081.3200
20200118,3079.2900
20200117,3078.5200
20200116,3065.1700
20200115,3050.5100
20200114,3037.9200
20200111,3050.6000
20200110,3047.2800
20200101,3031.2500
20191231,3008.3600
20191228,3012.6800
20191227,2960.6400
20191226,2958.1800
20191225,2979.8000
20191224,2969.9500
20191221,2963.3000
20191220,2964.0300
20191219,2975.6800
20191218,2972.2800
20191217,2981.4800
20191214,2957.6300
20191213,2997.7000
20191212,3000.2100
20191211,2993.4900
20191210,2998.6000
20191207,3021.3700
20191206,3025.3600
20191205,3046.0200
20191204,3032.1900
20191203,3018.2200
20191130,3000.4800
20191129,3003.8300
20191128,3002.4500
20191127,3000.4500
20191126,2991.9400
20191123,3013.7000
20191122,3015.0600
20191121,3037.4800
20191120,3003.5500
20191119,2989.3500
20191116,3010.4100
20191115,3029.8200
20191114,3020.7100
20191113,2987.0000
20191112,3011.3400
20191109,3005.5000
20191108,3040.8600
20191107,3043.1900
20191106,3059.5600
20191102,3108.2700
20191101,3088.7300
20191031,3060.1400
20191030,3063.4900
20191029,3090.5700
20191026,3095.8700
20191025,3056.8300
20191024,3065.0200
20191023,3043.1200
20191022,3056.1700
20191019,3058.5600
20191018,3055.1600
20191017,3067.0300
20191016,3087.9100
20191015,3092.0800
20191012,3093.8500
20191011,3139.3000
20191010,3146.5200
20191009,3128.2900
20191008,3130.7800
20191005,3156.0000
20191004,3149.4000
20191003,3122.3500
20191002,3067.0100
20191001,3091.6000
20190928,3098.5400
20190927,3114.9700
20190926,3159.1700
20190925,3113.7700
20190924,3123.9200
20190921,3087.5900
20190920,3093.7700
20190919,3111.7200
20190918,3090.8800
20190917,3082.3400
20190914,3122.2500
20190913,3150.0800
20190912,3142.1800
20190911,3144.5200
20190910,3183.1500
20190907,3193.3300
20190906,3275.9400
20190905,3290.0000
20190904,3296.4800
20190903,3263.0100
20190831,3263.2900
20190830,3297.6000
20190829,3291.9700
20190828,3263.3500
20190827,3189.7000
20190824,3154.3600
20190823,3161.8300
20190822,3194.8600
20190821,3226.4200
20190820,3210.8600
20190817,3201.9400
20190816,3215.0400
20190815,3145.2300
20190814,3221.0800
20190813,3159.4700
20190810,3154.3000
20190809,3135.5200
20190808,3113.3400
20190807,3064.5100
20190806,3048.3300
20190803,2984.5400
20190802,2886.3700
20190801,2916.7600
20190731,2910.7300
20190730,2897.8500
20190727,2878.4500
20190726,2896.2700
20190725,2892.7700
20190724,2877.1200
20190723,2884.1900
20190720,2904.5700
20190719,2870.2000
20190718,2834.8400
20190717,2859.7900
20190716,2860.7800
20190713,2847.9600
20190712,2882.2300
20190711,2862.3200
20190710,2845.3700
20190709,2884.9100
20190706,2891.4200
20190705,2884.8400
20190704,2909.2200
20190703,2831.8600
20190702,2817.9600
20190629,2865.8700
20190628,2842.2900
20190627,2840.7000
20190626,2873.6200
20190625,2842.6400
20190622,2817.8800
20190621,2815.7500
20190620,2761.3000
20190619,2781.1000
20190618,2756.9100
20190615,2801.6700
20190614,2775.7200
20190612,2743.4800
20190611,2767.6200
20190608,2790.1100
20190607,2803.3800
20190606,2800.9700
20190605,2772.9200
20190604,2769.3200
20190601,2724.3500
20190531,2669.9100
20190530,2678.4700
20190529,2664.0800
20190528,2658.0500
20190525,2662.0300
20190524,2645.6100
20190523,2638.4600
20190522,2647.5900
20190521,2644.0500
20190518,2671.8800
20190517,2689.1000
